English title,Simplified title,Traditional title,English link,Simplified link,Traditional link,Genres
Pepper & Carrot,小辣椒与萝卜头,,https://www.peppercarrot.com/,https://www.peppercarrot.com/lang=cn,,"fantasy, comedy, slice-of-life"
The Wormworld Saga,蠕虫世界传奇,,https://www.wormworldsaga.com/chapters/chapter01/en/,https://www.wormworldsaga.com/chapters/chapter01/cn/,,"fantasy, adventure"
Hive,虫穴,蟲穴,https://m.webtoons.com/en/thriller/hive/list?title_no=65,http://m.dongmanmanhua.cn/FANTASY/hive/list?title_no=223,https://m.webtoons.com/zh-hant/fantasy/hive/list?title_no=144,"sci-fi, action"
Moon You,MOONYOU-独行月球,MOONYOU-獨行月球,https://m.webtoons.com/en/sf/moonyou/list?title_no=1340,http://m.dongmanmanhua.cn/HEALING/moonyou/list?title_no=697,https://m.webtoons.com/zh-hant/comedy/moonyou/list?title_no=696,"sci-fi, comedy"
My giant nerd boyfriend,我的傻大个男友,,https://m.webtoons.com/en/slice-of-life/my-giant-nerd-boyfriend/list?title_no=958,http://m.dongmanmanhua.cn/LOVE/shadage/list?title_no=1115,,
My boo,与鬼魂同居,隐形的同居,https://m.webtoons.com/en/drama/my-boo/list?title_no=1185,http://m.dongmanmanhua.cn/FANTASY/yuguihuntongju/list?title_no=714,https://m.webtoons.com/zh-hant/drama/yinxingdetongju/list?title_no=713,
A bittersweet life,甜蜜人生,甜蜜人生,https://m.webtoons.com/en/slice-of-life/a-bittersweet-life/list?title_no=294,http://m.dongmanmanhua.cn/METROPOLIS/a-bittersweet-life/list?title_no=285,https://m.webtoons.com/zh-hant/slice-of-life/a-bittersweet-life/list?title_no=280,
Smile brush,会笑的画笔,會笑的畫筆,https://m.webtoons.com/en/slice-of-life/smile-brush/list?title_no=94,http://m.dongmanmanhua.cn/COMEDY/smile-brush/list?title_no=240,https://m.webtoons.com/zh-hant/heartwarming/smile-brush/list?title_no=182,
Subtle disaster,微小的灾难,微笑的災難,https://m.webtoons.com/en/drama/subtle-disaster/list?title_no=350,http://m.dongmanmanhua.cn/SUSPENSE/weixiaodezainan/list?title_no=884,https://m.webtoons.com/zh-hant/drama/weixiaodezainan/list?title_no=885,
TIMING,追逐时间,,https://www.spottoon.com/book/43/TIMING,https://m.kuaikanmanhua.com/web/topic/1874/,,
AGAIN,AGAIN,,https://www.spottoon.com/book/56/AGAIN,https://m.kuaikanmanhua.com/web/topic/1226/,,
COFFIN JACKSON,,傑克森的棺材,https://www.spottoon.com/book/48/COFFIN_JACKSON,,http://www.comico.com.tw/680/,
Hellper,地狱尽头,地獄盡頭,https://m.webtoons.com/en/action/hellper/list?title_no=185http://m.dongmanmanhua.cn/SUSPENSE/hellper/list?title_no=264,http://m.dongmanmanhua.cn/SUSPENSE/hellper/list?title_no=264,https://m.webtoons.com/zh-hant/action/hellper/list?title_no=180,
The girl from class,课堂中的她,課堂中的她,https://m.webtoons.com/en/drama/the-girl-from-class/list?title_no=73,http://m.dongmanmanhua.cn/CAMPUS/the-girl-from-class/list?title_no=239,https://m.webtoons.com/zh-hant/drama/the-girl-from-class/list?title_no=159,
Deep,深海,深海,https://m.webtoons.com/en/thriller/deep/list?title_no=364,http://m.dongmanmanhua.cn/SUSPENSE/shenhai/list?title_no=1143,https://m.webtoons.com/zh-hant/thriller/shenhai/list?title_no=1314,
Distant sky,,深淵的天空,https://m.webtoons.com/en/thriller/distant-sky/list?title_no=75,,https://m.webtoons.com/zh-hant/thriller/distant-sky/list?title_no=161,
About death,关于死亡,關於死亡,https://m.webtoons.com/en/drama/about-death/list?title_no=82,http://m.dongmanmanhua.cn/FANTASY/about-death/list?title_no=303,https://m.webtoons.com/zh-hant/drama/about-death/list?title_no=304,
Dr Frost,神探弗罗斯特,神探弗羅斯特,https://m.webtoons.com/en/drama/dr-frost/list?title_no=371,http://m.dongmanmanhua.cn/SUSPENSE/dr-frost/list?title_no=359,https://m.webtoons.com/zh-hant/drama/dr-frost/list?title_no=360,
Shriek,,驚聲尖叫,https://m.webtoons.com/en/thriller/shriek/list?title_no=772,,https://m.webtoons.com/zh-hant/thriller/jingshengjianjiao/list?title_no=739,
Unknown caller,,未知號碼,https://m.webtoons.com/en/thriller/ar-toon/list?title_no=775,,https://m.webtoons.com/zh-hant/thriller/ar-toon/list?title_no=776,
Sweet Home,家,SWEET HOME,https://m.webtoons.com/en/thriller/sweethome/list?title_no=1285,http://m.dongmanmanhua.cn/BOY/jia/list?title_no=1256,https://m.webtoons.com/en/thriller/sweethome/list?title_no=1285,
Siren’s Lament,人鱼哀曲,人魚哀曲,https://m.webtoons.com/en/romance/sirens-lament/list?title_no=632,http://m.dongmanmanhua.cn/FANTASY/sirens-lament/list?title_no=848,https://m.webtoons.com/zh-hant/romance/sirens-lament/list?title_no=838,
DICE,DICE-骰子,DICE-骰子,https://m.webtoons.com/en/fantasy/dice/list?title_no=64,http://m.dongmanmanhua.cn/BOY/dice/list?title_no=221,https://m.webtoons.com/zh-hant/fantasy/dice/list?title_no=141,
I Love Yoo,I LOVE LIU,,https://m.webtoons.com/en/romance/i-love-yoo/list?title_no=986,http://m.dongmanmanhua.cn/CAMPUS/iloveliu/list?title_no=1179,,
New Normal: Class 8,不平凡的平凡8班,,https://m.webtoons.com/en/comedy/new-normal-class-8/list?title_no=100,http://m.dongmanmanhua.cn/COMEDY/bupingfandepingfan8ban/list?title_no=942,,
True beauty,女神降临,女神降臨,https://m.webtoons.com/en/drama/truebeauty/list?title_no=1436,http://m.dongmanmanhua.cn/METROPOLIS/nvshenjianglin/list?title_no=1268,https://m.webtoons.com/zh-hant/drama/ohmymuse/list?title_no=1411,
Lookism,看脸时代,看臉時代,https://m.webtoons.com/en/drama/lookism/list?title_no=1049http://m.dongmanmanhua.cn/CAMPUS/kanlianshidai/list?title_no=423,http://m.dongmanmanhua.cn/CAMPUS/kanlianshidai/list?title_no=423,https://m.webtoons.com/zh-hant/drama/kanlianshidai/list?title_no=546,
Refund High School,重生高中,重佛高中歷險記,https://m.webtoons.com/en/fantasy/refundhighschool/list?title_no=1360,http://m.dongmanmanhua.cn/LOVE/chongshenggaozhong/list?title_no=1257,https://m.webtoons.com/zh-hant/drama/returnmyschoollife/list?title_no=1353,
LUMINE,狼人路姆尼,小狼人路姆尼,https://m.webtoons.com/en/drama/lumine/list?title_no=1022,http://m.dongmanmanhua.cn/LOVE/lumuni/list?title_no=1180,https://m.webtoons.com/zh-hant/drama/lumine/list?title_no=1343,
God of Bath,沐浴之神,沐浴之神,https://m.webtoons.com/en/comedy/god-of-bath/list?title_no=91,http://m.dongmanmanhua.cn/METROPOLIS/god-of-bath/list?title_no=236,https://m.webtoons.com/zh-hant/drama/god-of-bath/list?title_no=156,
10th dimensional boys,少年们在做什么,少年們在做什麼,https://m.webtoons.com/en/comedy/10th-dimension-boys/list?title_no=71,http://m.dongmanmanhua.cn/COMEDY/10th-dimension-boys/list?title_no=238,https://m.webtoons.com/zh-hant/comedy/10th-dimension-boys/list?title_no=158,