Title,Character set,Genre,Link,Notes
Pepper & Carrot,simplified,"fantasy, comedy, slice-of-life",https://www.peppercarrot.com/cn/static3/webcomics,
我的panda男友,simplified,"romance, slice-of-life",http://m.kuaikanmanhua.com/mobile/159/list/,"First chapter is a bit illegible, but from second chapter on it's fine"
Moving,simplified,"superhero, drama",http://m.kuaikanmanhua.com/mobile/2200/list/,
天下第几,simplified,"action, romance",http://m.kuaikanmanhua.com/mobile/472/list/,
二四八月常晴偶雨,simplified,"gender confusion, romance",http://m.kuaikanmanhua.com/mobile/772/list/,
亲爱的L,simplified,"lesbian, romance",http://m.kuaikanmanhua.com/mobile/1022/list/,
魔女,simplified,"supernatural, mystery, thriller",http://m.kuaikanmanhua.com/mobile/1154/list/,
酷MA萌,simplified,"four-panel, comedy",http://m.kuaikanmanhua.com/mobile/1064/list/,
死格：死亡的声音,traditional,"four-panel, horror",https://m.ac.qq.com/comic/chapterList/id/552409,
照明商店,simplified,"horror, mystery",http://m.kuaikanmanhua.com/mobile/1004/list/,